business_name,city,county,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
Majestic Wash Northwest,Marysville,Snohomish,https://majesticwashnorthwest.com/,walter@majesticwashnorthwest.com,(425) 446-2534,"Public site advertises same-day quotes; opportunity to automate quote follow-up and conversion.",pressure washing/exterior cleaning,STAN,qualified,not_contacted,https://majesticwashnorthwest.com/,2026-09-20
Olympic Tree Service LLC,Olympia,Thurston,https://olympictreeservices.com/,administration@olympictreeservices.com,(360) 438-0320,"Online estimate requests go to scheduling team; opportunity for automated estimate follow-up.",tree service/stump grinding,CUSTOMER_SERVICE,qualified,not_contacted,https://olympictreeservices.com/,2026-09-20
Superior Xterior,Vancouver,Clark,https://superiorxterior.com/,info@superiorxterior.com,(503) 734-9322,"Public contact flow exposes phone/email; opportunity to improve lead capture and automated follow-up.",pressure washing/exterior cleaning,BRIDGE,qualified,not_contacted,https://superiorxterior.com/,2026-09-20
Seattle Wash Co,Bellevue,King,https://www.seattlewashco.com/,sales@seattlewashco.com,(425) 900-0111,"Free-estimate flow uses phone/email/form; opportunity to automate quote follow-up.",pressure washing/exterior cleaning,STAN,qualified,not_contacted,https://www.seattlewashco.com/,2026-09-20
Wayra Mobile Detailing,Seattle,King,https://wayraplace.com/locations,customer@wayraplace.com,(425) 350-6740,"Public booking/contact flow presents multiple packages; opportunity to reduce booking friction and automate follow-up.",mobile/independent auto detailing,CUSTOMER_SERVICE,qualified,not_contacted,https://wayraplace.com/locations,2026-09-20
Cascade Clean Pros,Lynnwood,Snohomish,https://cascadecleanpros.com/,info@cascadecleanpros.com,(360) 202-7249,"Owner-operated; promises estimate response within an hour, creating a measurable automation/response-time opportunity.",pressure washing/exterior cleaning,BRIDGE,qualified,not_contacted,https://cascadecleanpros.com/,2026-09-20
Vortex Pressure Washing,Seattle,King,https://www.vortexcleaningwa.com/,info@vortexcleaningwa.com,206-635-9245,"Promotes same-day quotes through contact flow; opportunity to automate quote intake/follow-up.",pressure washing/exterior cleaning,STAN,qualified,not_contacted,https://www.vortexcleaningwa.com/,2026-09-20
Alex's Mobile Car Detailing,Everett,Snohomish,https://www.alexmobilecardetailing.com/,dafredrickson8888@gmail.com,(425) 404-9110,"Uses separate call/email/quote/Instagram paths; opportunity to consolidate lead capture and follow-up.",mobile/independent auto detailing,CUSTOMER_SERVICE,qualified,not_contacted,https://www.alexmobilecardetailing.com/,2026-09-20
Vets Junk Removal,Arlington,Snohomish,https://vets-junkremoval.com/,vetsjunkremoval360@gmail.com,(425) 449-6249,"Veteran-owned local operator with direct phone/email intake; opportunity for automated missed-call and inquiry follow-up.",junk removal/dumpster rental,BRIDGE,qualified,not_contacted,https://vets-junkremoval.com/,2026-09-20
Pete's Pressure Wash,Everett,Snohomish,https://petespressurewashwa.com/,petepressurewash@gmail.com,(425) 236-1229,"Booking request is a long multi-field form; opportunity to simplify conversion path and automate follow-up.",pressure washing/exterior cleaning,STAN,qualified,not_contacted,https://petespressurewashwa.com/,2026-09-20
JJ Haul Away LLC,College Place,Walla Walla,https://www.jjhaulawaywa.com/,jjhaulaway@icloud.com,509-520-2143,"Public directory exposes direct phone/email; opportunity for stronger lead capture and automated follow-up.",junk removal/dumpster rental,CUSTOMER_SERVICE,qualified,not_contacted,https://www.autopilotapp.io/tools/junk-business-map/listing/jj-haul-away-llc/,2026-09-20
Treemendous Tree,Seattle,King,https://treemendoustree.com/,TreemendousTree@gmail.com,206-353-2849,"Traditional quote form and direct phone/email; opportunity to automate quote response and follow-up.",tree service/stump grinding,BRIDGE,qualified,not_contacted,https://treemendoustree.com/,2026-09-20
Henderson's Hauling,Arlington,Snohomish,https://hendersonshauling.com/,hendersonshauling@gmail.com,(360) 403-7972,"Locally owned with same-day service and direct quote intake; opportunity for automated quote/missed-call follow-up.",junk removal/dumpster rental,STAN,qualified,not_contacted,https://hendersonshauling.com/,2026-09-20
Seattle Tree Service,Seattle,King,https://seattle-tree-care.com/,info@seattle-tree-care.com,(564) 234-4356,"Quote flow promises response within 24h; opportunity to reduce response latency with automation.",tree service/stump grinding,CUSTOMER_SERVICE,qualified,not_contacted,https://seattle-tree-care.com/stump-grinding-seattle/,2026-09-20
Signature Pressure Washing,Bellevue,King,https://signature-pw.com/,jim@signature-pw.com,(253) 436-1487,"Quote requests rely on phone/text/contact path; opportunity for automated inquiry follow-up.",pressure washing/exterior cleaning,BRIDGE,qualified,not_contacted,https://signature-pw.com/contact/,2026-09-20
