business_name,city,county,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
Rainier Detailing,Redmond,King,https://www.rainierdetailing.com/,rainierdetailing@gmail.com,(360) 436-6487,"Mobile detailer offers online scheduling plus WhatsApp and phone/email intake across a broad Eastside service area; opportunity to automate inquiry and abandoned-booking follow-up.",mobile/independent auto detailing,CUSTOMER_SERVICE,qualified,not_contacted,https://www.rainierdetailing.com/,2026-09-20
Golden Detail,,Pierce,https://www.goldendetailwa.com/,goldendetailwa@gmail.com,253-561-5117,"100% mobile Pierce County detailer uses online booking and phone intake with text reminders; opportunity to improve abandoned-booking and inquiry follow-up.",mobile/independent auto detailing,BRIDGE,qualified,not_contacted,https://www.goldendetailwa.com/,2026-09-20
Felix Mobile Detailing,Kennewick,Benton,,,(509) 438-5850,"Tri-Cities mobile detailer with public phone intake and on-site service; opportunity for automated missed-call and inquiry follow-up.",mobile/independent auto detailing,STAN,qualified,not_contacted,Google business listing,2026-09-20
Columbia Mobile Detailing,Kennewick,Benton,,,(509) 578-4526,"Family-owned husband-and-wife mobile detailing operator promotes online booking across the Tri-Cities; opportunity for automated abandoned-booking and inquiry follow-up.",mobile/independent auto detailing,CUSTOMER_SERVICE,qualified,not_contacted,Google business listing,2026-09-20
360 Mobile Detailing,Kennewick,Benton,,,(509) 440-6892,"Tri-Cities mobile detailer uses published package pricing and public phone intake; opportunity for automated inquiry qualification and follow-up.",mobile/independent auto detailing,BRIDGE,qualified,not_contacted,Google business listing,2026-09-20
dügood,Seattle,King,https://www.dugood.co/,info@dugood.co,(206) 438-4663,"Western Washington junk-removal operator accepts call/text/email and online scheduling through separate paths; opportunity to consolidate lead capture and automate follow-up.",junk removal/dumpster rental,STAN,qualified,not_contacted,https://www.dugood.co/,2026-09-20
Junk Slayers LLC,Spokane,Spokane,,,(509) 230-3687,"Locally owned Spokane junk-removal operator with public phone intake; opportunity for automated missed-call and quote follow-up.",junk removal/dumpster rental,CUSTOMER_SERVICE,qualified,not_contacted,Google business listing,2026-09-20
Bellingham Junk Removal Service,Bellingham,Whatcom,,,(360) 599-7473,"Locally owned junk-hauling operator serving Whatcom and Skagit with public phone intake; opportunity for automated missed-call and quote follow-up.",junk removal/dumpster rental,BRIDGE,qualified,not_contacted,Google business listing,2026-09-20
Clean Up Crew,Richland,Benton,,,(844) 447-5865,"Locally owned Tri-Cities junk-removal operator with public phone intake and volume-based pricing concept; opportunity for automated inquiry qualification and follow-up.",junk removal/dumpster rental,STAN,qualified,not_contacted,Google business listing,2026-09-20
Mojo Exteriors,Redmond,King,https://mojoexteriorsnw.com/,,(425) 877-5646,"Exterior-cleaning company offers multiple service categories through public phone intake; opportunity to automate service qualification and missed-call follow-up.",pressure washing/exterior cleaning,CUSTOMER_SERVICE,qualified,not_contacted,https://mojoexteriorsnw.com/,2026-09-20
DH Pressure Washing,Vancouver,Clark,https://dhpressurewashingllc.com/,,(971) 998-8682,"Locally owned Vancouver exterior-cleaning operator relies on public phone intake; opportunity for automated missed-call and estimate follow-up.",pressure washing/exterior cleaning,BRIDGE,qualified,not_contacted,https://dhpressurewashingllc.com/,2026-09-20
Cornerstone Cleaning,Silverdale,Kitsap,https://cornerstonecleaning.com/,Admin@cornerstonecleaning.com,360-633-3789,"Exterior-cleaning operator publishes direct phone/email with weekday office hours; opportunity for after-hours inquiry capture and automated follow-up.",pressure washing/exterior cleaning,STAN,qualified,not_contacted,https://cornerstonecleaning.com/,2026-09-20
Hydra Clean,Bellingham,Whatcom,,,(360) 220-6478,"Bellingham exterior-cleaning operator has public phone intake and broad roof/gutter/pressure-washing services; opportunity for automated inquiry qualification and follow-up.",pressure washing/exterior cleaning,CUSTOMER_SERVICE,qualified,not_contacted,Google business listing,2026-09-20
Rawls Tree Service,Bellingham,Whatcom,,,(360) 303-8825,"Locally owned Whatcom County tree service with 24-hour public availability; opportunity for automated missed-call and estimate follow-up.",tree service/stump grinding,BRIDGE,qualified,not_contacted,Google business listing,2026-09-20
Earthworks Tree Service,Bellingham,Whatcom,,,(360) 994-1211,"Bellingham arborist company advertises 24/7 emergency service across Whatcom and Skagit; opportunity for automated emergency-intake and estimate follow-up.",tree service/stump grinding,STAN,qualified,not_contacted,Google business listing,2026-09-20
John the Arborist,Bellingham,Whatcom,,,(360) 926-9938,"Bellingham tree service offers stump grinding and 24-hour public availability; opportunity for automated inquiry qualification and estimate follow-up.",tree service/stump grinding,CUSTOMER_SERVICE,qualified,not_contacted,Google business listing,2026-09-20
Uribe's Tree Service LLC,Yakima,Yakima,,,(509) 406-1506,"Yakima tree-care operator advertises 24-hour availability across Central Washington; opportunity for automated missed-call and estimate follow-up.",tree service/stump grinding,BRIDGE,qualified,not_contacted,Google business listing,2026-09-20
RAV Garage Door Repair LLC,Kennewick,Benton,,,(509) 572-7861,"Tri-Cities garage-door repair and installation operator advertises 24/7 and same-day service; opportunity for automated missed-call and urgent-service follow-up.",independent garage-door repair/installation,STAN,qualified,not_contacted,Google business listing,2026-09-20
