business_name,county,city,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
"Slide In Mobile Detailing LLC","Snohomish","Everett","","","+1 425-344-2068","Self-made small-business owner; mobile detailing plus appointment-required service. Appointment capture and follow-up are concrete conversion points.","mobile/independent auto detailing","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Sno King Hauling Junk Removal","Snohomish","Marysville","","","+1 425-322-6782","Marysville-based full-service junk hauling operator with direct phone contact; quote capture and follow-up are relevant for high-intent cleanout leads.","junk removal/dumpster rental","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Timber Tigers NW","Snohomish","Everett","","","+1 425-539-1781","Locally owned tree service with online estimates and appointment-required service; estimate response and nurture are observable conversion points.","tree service/stump grinding","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Gaston's Garage Doors","Snohomish","Everett","","","+1 425-534-9015","Owner-operated residential garage-door repair and installation business with extended service hours; urgent-call recovery and booking follow-up are concrete opportunities.","independent garage-door repair/installation","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"The Detail Buff- Mobile Auto Detailing","Snohomish","Marysville","","","+1 360-548-0879","Appointment-only local detailing business offering mobile and in-shop services; scheduling, reminder, and no-response recovery are observable conversion points.","mobile/independent auto detailing","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Puget Sound Junk Removal","Snohomish","Lake Stevens","","","+1 425-626-4319","Family-owned local junk hauling and cleanout company; direct-response quote capture and follow-up are commercially relevant for larger cleanout jobs.","junk removal/dumpster rental","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Sky Power Wash","Snohomish","Marysville","","","+1 425-598-0088","Exterior-cleaning company explicitly shows no online estimates and requires appointments, creating a concrete quote-capture and scheduling opportunity.","pressure washing/exterior cleaning","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Lineage Tree Care LLC","Snohomish","Snohomish","","","+1 360-531-7183","Local tree service with appointment-required workflow and direct phone contact; estimate capture and missed-call follow-up are relevant for high-value jobs.","tree service/stump grinding","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Marysville Overhead Door Repair & Opener","Snohomish","Marysville","","","+1 360-323-3536","Local garage-door repair provider whose reviews emphasize rapid estimates and response; missed-call recovery and immediate booking follow-up are concrete conversion points.","independent garage-door repair/installation","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Alex's Mobile Car Detailing","Snohomish","Everett","","","+1 425-404-9110","Mobile detailing business with appointment-required service and direct phone contact; booking capture and appointment follow-up are observable conversion opportunities.","mobile/independent auto detailing","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
