business_name,county,city,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
"Felix Mobile Detailing","Benton","Kennewick","","","+1 509-438-5850","Mobile Tri-Cities detailer serving customers on-site; mobile appointment intake and follow-up are concrete conversion points.","mobile/independent auto detailing","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"X-TREME AUTO DETAILING LLC","Chelan","Wenatchee","","","+1 509-630-5049","Local detailing company offering mobile and drop-off service with long daily hours; scheduling and inquiry follow-up are concrete conversion points.","mobile/independent auto detailing","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Columbia Mobile Detailing","Benton","Kennewick","","","+1 509-578-4526","Family-owned husband-and-wife mobile detailer serving Tri-Cities; mobile scheduling and customer follow-up are concrete conversion points.","mobile/independent auto detailing","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Detail Genius Mobile Detailing","Chelan","Wenatchee","","","+1 206-207-7034","Wenatchee mobile detailer with 24-hour listed availability and by-appointment drop-off; appointment capture and follow-up are concrete opportunities.","mobile/independent auto detailing","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Grime2shine detail","Walla Walla","Walla Walla","","","+1 509-540-9162","Local mobile detailing operator serving Walla Walla; convenience-led scheduling and inquiry follow-up are concrete conversion points.","mobile/independent auto detailing","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"JJ Haul Away Junk Removal And Demolition","Walla Walla","Walla Walla","","","+1 509-520-2143","Locally owned junk removal and demolition operator; estimate capture and cleanout follow-up are concrete conversion points.","junk removal/dumpster rental","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Nathan's Junk Removal & Services","Chelan","Wenatchee","","","+1 509-670-7628","Local junk hauling operator using photo-by-text quoting and same-day removal; rapid quote response and follow-up are concrete conversion points.","junk removal/dumpster rental","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Prime Junk Removal LLC","Franklin","Pasco","","","+1 509-212-6678","Locally owned family-run Tri-Cities junk removal company with 24-hour availability; missed-call recovery and quote follow-up are concrete opportunities.","junk removal/dumpster rental","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Mountainside Junk Removal","Yakima","Yakima","https://mountainsidejunk.com/","mountainsidejunk@gmail.com","+1 509-945-9247","Owner-operated same-day/next-day junk removal; website asks customers to call, text, or send photos, making rapid estimate response and lead follow-up directly relevant.","junk removal/dumpster rental","BRIDGE","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"GoGreen Pressure Washing","King","Auburn","https://gogreenpropertywash.com/","contactgogreenmobileservices@gmail.com","+1 206-890-1579","Owner-operated exterior cleaner scheduling one property per day; quote capture, waitlist/nurture, and missed-call recovery are concrete conversion opportunities.","pressure washing/exterior cleaning","STAN","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"Uribe's Tree Service LLC","Yakima","Yakima","","","+1 509-406-1506","Local tree-care company with 24-hour availability; emergency-call capture and estimate follow-up are concrete high-value conversion points.","tree service/stump grinding","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Mountain View Tree Service","Walla Walla","Walla Walla","","","+1 509-522-8255","Local tree service offering free estimates for complex removals and stump work; estimate follow-up is a concrete conversion opportunity.","tree service/stump grinding","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Supreme Tree Service","Franklin","Pasco","","","+1 509-460-8457","Family-owned Tri-Cities tree company with 24-hour availability; urgent-call recovery and bid follow-up are concrete conversion points.","tree service/stump grinding","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Blake's Garage Door CO","Chelan","Wenatchee","","","+1 509-670-8882","Local Wenatchee garage-door repair and installation provider; urgent repair scheduling and new-door estimate follow-up are concrete conversion points.","independent garage-door repair/installation","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Robbins' Garage Door Co","Chelan","Wenatchee","","","+1 509-884-8630","Locally owned family-operated garage-door company; repair-call scheduling and sales/installation estimate follow-up are concrete opportunities.","independent garage-door repair/installation","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"RAV Garage Door Repair LLC","Benton","Kennewick","","","+1 509-572-7861","Local Tri-Cities garage-door company advertising 24/7 and same-day repair; missed-call recovery and immediate scheduling are concrete conversion points.","independent garage-door repair/installation","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
