business_name,county,city,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
"Seattle Mobile Detailing & Ceramic Coating","King","Seattle","","","+1 206-922-7372","Local mobile detailer; structured public listing surfaced direct phone and appointment-based service but no public email or website in the result, creating a direct-response lead-capture opportunity.","mobile/independent auto detailing","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"5 Star Mobile Detailing","King","Seattle","","","+1 206-690-0346","Seattle mobile detailer; structured listing surfaced phone and appointment recommendations but no public email or website, leaving a lead-capture and follow-up opportunity.","mobile/independent auto detailing","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Dreamy's Mobile Detailing & Ceramic Coating","King","Seattle","","","+1 206-600-8071","Locally owned mobile detailer; structured listing surfaced direct phone and appointment-based service but no public email or website, leaving direct-response follow-up opportunity.","mobile/independent auto detailing","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"The Mobile Detailing Guys","King","Seattle","","","+1 206-672-8071","Mobile Seattle operator; structured listing surfaced direct phone but no public email or website, creating a lead-capture opportunity for convenience-first customers.","mobile/independent auto detailing","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Sno King Hauling Junk Removal","Snohomish","Marysville","","","+1 425-322-6782","Local junk-hauling operator; structured listing surfaced direct phone but no public email or website, leaving direct-response quote and follow-up opportunity.","junk removal/dumpster rental","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Action Junk Hauling Everett","Snohomish","Everett","","","+1 425-406-4424","Veteran-owned local junk and dumpster operator; structured listing surfaced direct phone and on-site service but no public email or website, creating quote follow-up opportunity.","junk removal/dumpster rental","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Hydra Clean","Whatcom","Bellingham","","","+1 360-220-6478","Women-owned exterior-cleaning operator offers online estimates; structured listing surfaced phone but no public email or website, creating estimate-nurture and recovery opportunity.","pressure washing/exterior cleaning","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"NW Window Cleaning and Home Services","Whatcom","Bellingham","","","+1 360-389-2802","Local exterior-cleaning company; structured listing surfaced phone but no public email or website, leaving quote-flow and follow-up opportunity.","pressure washing/exterior cleaning","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Arbor Tree Care LLC","Thurston","Olympia","","","+1 360-704-9577","Owner-operated local tree service advertises free estimates and direct call/text contact; structured listing creates a concrete estimate-follow-up automation opportunity.","tree service/stump grinding","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Double D Tree Service LLC","Thurston","Olympia","","","+1 360-438-1234","Locally owned family-run tree and stump service; structured listing surfaced phone but no public email or website, leaving direct-response estimate and follow-up opportunity.","tree service/stump grinding","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Ryder Garage Doors","Clark","Vancouver","","","+1 360-843-7981","Local garage-door provider; structured listing explicitly reports no online estimates and directs prospects to call for a no-obligation estimate, creating a concrete quote-flow opportunity.","independent garage-door repair/installation","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
