business_name,county,city,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
"MK Services - Mobile Auto Detailing Spokane & Ceramic Coating","Spokane","Spokane","","","+1 509-979-4848","Family-owned mobile detailer; public business listing surfaced direct phone contact but no public email or website in the result, creating a direct-response capture opportunity.","mobile/independent auto detailing","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Bliss Auto Detailing","Clark","Vancouver","","","+1 360-605-7965","Local mobile/shop detailing provider; structured listing surfaced phone but no public email/website, leaving a direct-response acquisition opportunity.","mobile/independent auto detailing","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Refined Rides Detail & Tint","Yakima","Yakima","","","+1 509-406-3033","Owner-operated automotive appearance shop; structured listing surfaced phone but no public email/website, leaving a lead-capture opportunity.","mobile/independent auto detailing","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"MMI Detailing","Spokane","Spokane","https://mmidetailing.com/","mmidetailing509@gmail.com","509-844-1119","Mobile operator with public email and online booking; small operating history and website-displayed 84% satisfaction metric create a measurable conversion/retention optimization opportunity.","mobile/independent auto detailing","BRIDGE","QUALIFIED","EMAIL_SENT","Public business website","2026-09-19"
"Detail Wiz of Spokane","Spokane","Spokane","https://www.detailwizspokane.com/","","(509) 847-9395","Mobile detailer has scheduling CTA but no public email surfaced in the indexed page; opportunity centers on lead recovery/follow-up for visitors who do not complete scheduling.","mobile/independent auto detailing","STAN","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"Detail Dude Spokane","Spokane","Spokane","https://www.detaildudespokane.com/","blake@detaildudespokane.com","(509) 903-5879","Independent mobile detailer asks prospects to fill a contact form or call for a free in-home consultation rather than exposing instant booking, creating quote-to-booking automation opportunity.","mobile/independent auto detailing","CUSTOMER_SERVICE","QUALIFIED","EMAIL_SENT","Public business website","2026-09-19"
"Legend Junk Removal","Spokane","Spokane","","","+1 509-300-3384","Locally owned junk-removal operator with only 8 public reviews in structured listing; phone-first acquisition creates lead-capture/follow-up opportunity.","junk removal/dumpster rental","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Hoss Junk Removal","Pierce","Tacoma","","","+1 253-553-2978","Veteran-owned local junk/dumpster operator with only 7 public reviews; structured listing surfaced phone but no public email/website.","junk removal/dumpster rental","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Junk Bros 509","Yakima","Yakima","","","+1 509-314-8132","Locally owned family-operated junk service; structured listing surfaced phone and online estimates but no public email/website, leaving follow-up automation opportunity.","junk removal/dumpster rental","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Spokane WA Junk Removal","Spokane","Spokane","https://spokanewajunkremoval.com/","","(509) 309-8172","Local junk hauler promotes phone-based dispatch and price ranges; no public email surfaced, creating missed-call and quote follow-up opportunity.","junk removal/dumpster rental","BRIDGE","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
