business_name,county,city,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
"PNW Real Detail / Ceramic Coating / Mobile Detailing Service","Pierce","Tacoma","","","+1 253-670-5218","Tacoma-area mobile detailer; public listing shows appointment-required service and direct phone contact, creating an opportunity around lead capture and automated appointment follow-up.","mobile/independent auto detailing","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Clean Slate Hauling And Junk Removal Tacoma","Pierce","Tacoma","","","+1 253-246-1792","Locally owned junk-hauling operator; public reviews emphasize phone-based ballpark pricing and response time, making quote capture and follow-up a concrete conversion opportunity.","junk removal/dumpster rental","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Beautiful Day Cleaning Co.","Pierce","Tacoma","","","+1 253-414-5304","Tacoma exterior-cleaning company offers online estimates and appointment-based service; estimate nurture and follow-up are observable conversion points.","pressure washing/exterior cleaning","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Apex Tree Experts - Tacoma","Pierce","Tacoma","","","+1 253-227-9775","Family-owned tree service advertises free estimates; reviews mention customers leaving information through the website and receiving a call, creating an explicit estimate-response and follow-up workflow opportunity.","tree service/stump grinding","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Independent Garage Doors","Pierce","Tacoma","","","+1 253-592-3240","Owner-operator garage-door company offers estimates and direct service; public listing shows appointment/on-site workflow, creating estimate nurture and missed-call recovery opportunity.","independent garage-door repair/installation","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Royalty Detail Center LLC","Pierce","Tacoma","","","+1 253-720-0870","Appointment-only Tacoma mobile detailer; dependence on scheduled appointments creates a concrete booking, reminder, and no-response recovery opportunity.","mobile/independent auto detailing","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"The Dump-It Dude","Pierce","Tacoma","","","+1 253-433-8677","Locally owned Tacoma junk-removal operator emphasizes same-day/next-day scheduling and upfront pricing, making rapid quote response and automated follow-up commercially relevant.","junk removal/dumpster rental","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Experienced Roof & Gutter Cleaning - Tacoma","Pierce","Tacoma","","","+1 206-895-0730","Family-owned exterior-cleaning company offers online estimates and appointment-based service; estimate follow-up and recurring-service reactivation are concrete conversion opportunities.","pressure washing/exterior cleaning","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Nomad Tree Services LLC","Pierce","Tacoma","","","+1 253-414-3805","Puget Sound local tree-service operator with direct phone contact; estimate capture, missed-call recovery, and follow-up are relevant for high-value tree jobs.","tree service/stump grinding","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Next Door Garage Door Service","Pierce","Tacoma","","","+1 206-666-4417","Tacoma garage-door repair/installation provider markets fast response and 24-hour availability; missed-call recovery and immediate booking follow-up are concrete conversion points.","independent garage-door repair/installation","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
