business_name,county,city,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
"Feldtman Mobile Auto Detailing & Ceramic Coating Olympia","Thurston","Olympia","","","+1 360-634-4727","Mobile and in-shop detailer serving Olympia-area customers; appointment capture, quote follow-up, and mobile scheduling are concrete conversion points.","mobile/independent auto detailing","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"X-clusive Auto Detailing","Thurston","Olympia","","","+1 253-353-2838","Local mobile and in-shop detailing business with a broad service menu; mobile appointment intake and follow-up are observable conversion points.","mobile/independent auto detailing","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"TERRIFIC MOBILE AUTO DETAIL","Clark","Vancouver","","","+1 360-910-8825","Owner-identified mobile detailing LLC serving Vancouver-area customers at their location; direct booking and follow-up are relevant conversion points.","mobile/independent auto detailing","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"RJP Junk Removal, Yard Waste Removal & Home Services LLC","Kitsap","Port Orchard","","","+1 253-792-9801","Local full-service junk hauling operator with 24-hour availability; quote capture and rapid follow-up matter for last-minute and larger cleanout demand.","junk removal/dumpster rental","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"OnPoint Removal Services","Clark","Vancouver","","","+1 360-728-0093","Locally operated full-service junk removal business with 24-hour availability; immediate quote response and missed-call recovery are concrete opportunities.","junk removal/dumpster rental","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Bayside Exterior Cleaning","Thurston","Olympia","","","+1 360-800-3393","Family-owned exterior cleaning provider serving Thurston County; estimate intake and follow-up across pressure washing, roof, and gutter jobs are observable conversion points.","pressure washing/exterior cleaning","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Sound Exterior Solutions","Kitsap","Port Orchard","","","+1 360-362-0800","Locally owned family-run exterior cleaning company using measured quote-based pricing; quote response and nurture are concrete conversion points.","pressure washing/exterior cleaning","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Rawls Tree Service","Whatcom","Bellingham","","","+1 360-303-8825","Locally owned 24-hour tree service handling hazardous and complex removals; urgent-call recovery and estimate follow-up are high-value conversion points.","tree service/stump grinding","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Arbor Tree Care LLC","Thurston","Olympia","","","+1 360-704-9577","Owner-operated tree service serving Olympia, Lacey, and Tumwater with 24-hour availability; estimate capture and emergency lead response are concrete opportunities.","tree service/stump grinding","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"I'M IN Tree Services","Thurston","Olympia","","","+1 253-345-1559","Family-owned and family-operated tree company advertising 24-hour emergency service; urgent inquiry response and estimate follow-up are concrete conversion points.","tree service/stump grinding","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Ryder Garage Doors","Clark","Vancouver","","","+1 360-843-7981","Local LLC providing repair, replacement, opener, and installation work with extended weekday hours; service-call booking and estimate follow-up are concrete opportunities.","independent garage-door repair/installation","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Orca Garage Doors","Kitsap","Bremerton","","","+1 253-232-8550","Local family-owned garage-door repair and installation company with long service hours; urgent repair call recovery and scheduling follow-up are concrete conversion points.","independent garage-door repair/installation","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
