business_name,county,city,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
"PNW Real Detail / Ceramic Coating / Mobile Detailing Service","Pierce","Tacoma","","","+1 253-670-5218","Structured public listing surfaced phone but no public email or website; mobile local operator with direct-response acquisition opportunity.","mobile/independent auto detailing","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Royalty Detail Center LLC","Pierce","Tacoma","","","+1 253-720-0870","Appointment-only mobile operator; structured public listing surfaced phone but no public email or website.","mobile/independent auto detailing","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Power Pros Auto Detail","Pierce","Tacoma","","","+1 619-607-1776","Only 3 public reviews in listing and no public email/website surfaced; clear local lead-capture opportunity.","mobile/independent auto detailing","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Advanced Mobile Auto Spa","Pierce","Tacoma","","","+1 253-442-6744","13 public reviews and no public email/website surfaced in structured listing; local mobile/shop operator.","mobile/independent auto detailing","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Autobros Mobile Detailing Tacoma","Pierce","Tacoma","","","+1 206-258-6319","Website noted indirectly in listing but no public email surfaced; mobile operator with quote/booking follow-up opportunity.","mobile/independent auto detailing","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"AZ Auto Detailing","Pierce","Tacoma","","","+1 253-341-5615","Only 2 public reviews in listing and no public email/website surfaced; local independent detailing operator.","mobile/independent auto detailing","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Gloss & Glory Auto Protection & Detailing","Pierce","Tacoma","","","+1 253-888-1136","Owner-operated with only 1 public review in listing; no public email/website surfaced.","mobile/independent auto detailing","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Bellingham Junk Removal Service","Whatcom","Bellingham","","","+1 360-599-7473","Locally owned with only 8 public reviews; no public email/website surfaced in structured listing.","junk removal/dumpster rental","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"A+ Clean-Up","Whatcom","Bellingham","","","+1 360-599-1501","Family-owned local operator; no public email/website surfaced in structured listing.","junk removal/dumpster rental","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Junkaway LLC","Whatcom","Bellingham","","","+1 360-323-2190","Local junk removal/light demolition operator; no public email/website surfaced in structured listing.","junk removal/dumpster rental","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Grace Pressure Washing","Spokane","Spokane","","","+1 509-850-7828","Locally owned exterior-cleaning operator; no public email/website surfaced in structured listing.","pressure washing/exterior cleaning","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Serene Window & Pressure Cleaning","Spokane","Spokane Valley","","","+1 509-608-9834","Local exterior-cleaning operator; structured listing surfaced phone but no public email/website.","pressure washing/exterior cleaning","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"The Bright Side","Spokane","Spokane","","","+1 509-464-9461","Local exterior-cleaning operator; structured listing surfaced phone but no public email/website.","pressure washing/exterior cleaning","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Uribe's Tree Service LLC","Yakima","Yakima","","","+1 509-406-1506","Local tree-care operator; structured listing surfaced phone but no public email/website.","tree service/stump grinding","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Big R Tree Service LLC","Yakima","Yakima","","","+1 509-969-9374","Locally owned tree service; structured listing surfaced phone but no public email/website.","tree service/stump grinding","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"North West Arbor LLC","Yakima","Yakima","","","+1 509-388-1671","Local tree service; structured listing surfaced phone but no public email/website.","tree service/stump grinding","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Ponderosa Garage Doors Vancouver","Clark","Vancouver","","","+1 360-216-0106","Local garage-door provider; structured listing surfaced phone but no public email/website.","independent garage-door repair/installation","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Ryder Garage Doors","Clark","Vancouver","","","+1 360-843-7981","Only 9 public reviews in listing; no public email/website surfaced, creating a clear acquisition/lead-capture opportunity.","independent garage-door repair/installation","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
